控制点编号, 像点x坐标, 像点y坐标
431, 223.1341, 2622.7045
432, 229.4347, 2014.8282
433, 241.1050, 1415.5467
435, 260.5948, 252.5379
331, 747.1695, 2797.0158
332, 744.1777, 2355.9512
333, 741.6415, 1903.4924
334, 743.7084, 1542.5543
335, 744.3559, 1169.2711
336, 744.8769, 828.1558
337, 748.4242, 437.5627
441, 921.3500, 2581.4854
442, 877.3202, 1999.7413
443, 900.1164, 1422.7284
444, 890.5294, 854.1227
445, 881.9802, 294.8272
133, 1005.3996, 2461.5117
134, 1005.2793, 1858.3254
135, 1000.0198, 1404.0103
136, 998.6235, 942.1416
137, 1000.0172, 492.9146
11, 1130.5857, 1763.3536
12, 1132.2069, 2157.5431
13, 1139.2454, 2504.8251
453, 1470.4904, 1427.9699
455, 1469.3006, 336.5592
31, 1733.7999, 1764.3413
33, 1742.2711, 2563.1220
224, 1725.8900, 1206.9537
225, 1721.9512, 670.2576
226, 1715.5635, 173.9592
461, 2019.2659, 2529.3165
462, 2004.0317, 1976.6304
463, 2003.1689, 1433.8643
465, 1986.0616, 372.9892
466, 1978.9556, 30.4528
41, 2163.2533, 1766.0138
143, 2315.3678, 2398.5116
144, 2302.3620, 1842.1452
145, 2295.2701, 1419.3942
146, 2285.0148, 989.3424
147, 2274.7264, 580.6947
148, 2264.5903, 45.9770
471, 2548.1490, 2500.9679
472, 2536.8602, 1967.4446
473, 2508.0461, 1439.7714
474, 2489.6379, 919.0807
475, 2470.4055, 408.8092
476, 2472.7215, 51.1250
51, 2656.6542, 1732.9419
52, 2671.2813, 2135.6883
53, 2690.3729, 2583.4649
352, 2782.4687, 2256.0325
353, 2771.0544, 1848.2071
354, 2762.3595, 1520.4142
355, 2753.4585, 1208.7737
356, 2743.7892, 889.8335
357, 2732.0142, 500.0311
358, 2717.9843, 108.1768
483, 2968.6158, 1443.5533
484, 2966.6312, 940.4862
485, 2956.3078, 442.8011
486, 2959.3618, 107.1965
61, 3030.1565, 1760.4543
62, 3035.6428, 2106.8946
71, 3152.2989, 1742.2601
72, 3152.9697, 2106.3037
73, 3158.7622, 2476.7294
91, 3312.1202, 1746.7236
155, 3298.2113, 1427.0440
156, 3284.6937, 1029.8426
157, 3270.1857, 640.9693
158, 3246.7616, 136.0665
491, 3477.7427, 2447.5222
492, 3450.6324, 1945.1245
493, 3428.8044, 1449.8669
494, 3387.8937, 957.6329
495, 3360.8333, 473.5329
496, 3374.3314, 136.5646
361, 3579.0331, 2610.9283
362, 3567.5443, 2210.1908
363, 3552.4164, 1807.1784
364, 3540.4099, 1413.2634
365, 3522.1710, 1007.3805
366, 3506.8792, 607.2191
367, 3488.8406, 232.7101
501, 3884.5867, 2422.8750
502, 3869.6045, 1936.5520
503, 3847.8543, 1453.1761
504, 3827.5516, 978.6505
505, 3810.5479, 511.1370
506, 3827.6385, 189.8905
373, 4225.4493, 1821.0650
374, 4208.8237, 1419.8237
375, 4188.8275, 1040.2921
376, 4170.4534, 661.4686
377, 4151.4371, 293.9625
